[2025-03-22T16:05:12.741-0500] {formateo.py:57} INFO - Descargado 221 de 231 archivos
[2025-03-22T16:05:13.565-0500] {formateo.py:57} INFO - Descargado 222 de 231 archivos
[2025-03-22T16:05:15.716-0500] {formateo.py:57} INFO - Descargado 223 de 231 archivos
[2025-03-22T16:05:17.820-0500] {formateo.py:57} INFO - Descargado 224 de 231 archivos
[2025-03-22T16:05:18.669-0500] {formateo.py:57} INFO - Descargado 225 de 231 archivos
[2025-03-22T16:05:20.440-0500] {formateo.py:57} INFO - Descargado 226 de 231 archivos
[2025-03-22T16:05:22.657-0500] {formateo.py:57} INFO - Descargado 227 de 231 archivos
[2025-03-22T16:05:23.524-0500] {formateo.py:57} INFO - Descargado 228 de 231 archivos
[2025-03-22T16:05:24.376-0500] {formateo.py:57} INFO - Descargado 229 de 231 archivos
[2025-03-22T16:05:26.102-0500] {formateo.py:57} INFO - Descargado 230 de 231 archivos
[2025-03-22T16:05:26.951-0500] {formateo.py:57} INFO - Descargado 231 de 231 archivos
[2025-03-22T16:05:31.703-0500] {python.py:240} INFO - Done. Returned value was: None
[2025-03-22T16:05:31.706-0500] {taskinstance.py:341} INFO - ::group::Post task execution logs
[2025-03-22T16:05:31.706-0500] {taskinstance.py:353} INFO - Marking task as SUCCESS. dag_id=proceso_etl, task_id=tarea_formateo, run_id=manual__2025-03-22T20:59:04.192084+00:00, execution_date=20250322T205904, start_date=20250322T205908, end_date=20250322T210531
[2025-03-22T16:05:31.780-0500] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2025-03-22T16:05:31.792-0500] {taskinstance.py:3901} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-03-22T16:05:31.802-0500] {local_task_job_runner.py:245} INFO - ::endgroup::
